TIME,GEO,CROPS,STRUCPRO,Value,Flag_and_Footnotes
2012,European Union - 27 countries (from 2020),Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),54 936.38,
2012,European Union - 27 countries (from 2020),Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),1 249.55,d
2012,European Union - 27 countries (from 2020),Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),1 951.44,
2012,European Union - 27 countries (from 2020),Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,European Union - 27 countries (from 2020),Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),11 242.07,
2012,European Union - 28 countries (2013-2020),Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),58 078.38,
2012,European Union - 28 countries (2013-2020),Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),1 369.55,d
2012,European Union - 28 countries (2013-2020),Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),,
2012,European Union - 28 countries (2013-2020),Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,European Union - 28 countries (2013-2020),Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),11 265.07,
2012,Belgium,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),341.80,
2012,Belgium,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),1.70,
2012,Belgium,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),52.14,
2012,Belgium,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Belgium,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),17.15,
2012,Bulgaria,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),1 903.20,
2012,Bulgaria,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),5.40,
2012,Bulgaria,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),20.40,
2012,Bulgaria,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Bulgaria,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),92.09,
2012,Czech Republic,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),1 454.44,
2012,Czech Republic,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),20.18,
2012,Czech Republic,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),8.34,
2012,Czech Republic,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Czech Republic,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),34.01,
2012,Denmark,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),1 495.50,
2012,Denmark,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),6.80,
2012,Denmark,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),10.78,
2012,Denmark,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Denmark,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),5.79,
2012,Germany,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),6 527.30,
2012,Germany,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),82.10,
2012,Germany,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),111.46,
2012,Germany,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Germany,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),152.69,
2012,Estonia,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),290.50,
2012,Estonia,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),11.00,
2012,Estonia,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),1.80,
2012,Estonia,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Estonia,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),1.80,
2012,Ireland,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),314.48,
2012,Ireland,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),4.09,d
2012,Ireland,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),4.10,
2012,Ireland,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Ireland,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),0.76,
2012,Greece,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),982.93,
2012,Greece,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),24.09,
2012,Greece,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),92.01,
2012,Greece,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Greece,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),1 217.15,
2012,Spain,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),6 169.89,
2012,Spain,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),445.63,
2012,Spain,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),318.22,
